Rank,Name,Platform,Year,Genre,Publisher,Global_Sales,Averaged_Sales
1,Wii Sports,Wii,2006.0,Sports,Nintendo,82.74,11.443983402489625
3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,35.82,4.954356846473029
4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,33.0,4.564315352697095
7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,30.01,4.15076071922545
8,Wii Play,Wii,2006.0,Misc,Nintendo,29.02,4.013831258644537
9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,28.62,3.9585062240663897
11,Nintendogs,DS,2005.0,Simulation,Nintendo,24.76,3.424619640387275
12,Mario Kart DS,DS,2005.0,Racing,Nintendo,23.42,3.239280774550484
14,Wii Fit,Wii,2007.0,Sports,Nintendo,22.72,3.142461964038727
15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,22.0,3.0428769017980635
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,20.22,2.796680497925311
21,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,18.36,2.5394190871369293
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,Role-Playing,Nintendo,15.85,2.1922544951590592
27,Pokemon Black/Pokemon White,DS,2010.0,Role-Playing,Nintendo,15.32,2.1189488243430152
28,Brain Age 2: More Training in Minutes a Day,DS,2005.0,Puzzle,Nintendo,15.3,2.116182572614108
33,Pokemon X/Pokemon Y,3DS,2013.0,Role-Playing,Nintendo,14.35,1.9847856154910095
40,Super Smash Bros. Brawl,Wii,2008.0,Fighting,Nintendo,13.04,1.8035961272475793
42,Animal Crossing: Wild World,DS,2005.0,Simulation,Nintendo,12.27,1.697095435684647
43,Mario Kart 7,3DS,2011.0,Racing,Nintendo,12.21,1.6887966804979253
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,Action,Nintendo,11.9,1.6459197786998616
49,Super Mario Galaxy,Wii,2007.0,Platform,Nintendo,11.52,1.5933609958506223
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,Role-Playing,Nintendo,11.33,1.5670816044260027
54,Super Mario 3D Land,3DS,2011.0,Platform,Nintendo,10.79,1.4923928077455046
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004.0,Role-Playing,Nintendo,10.49,1.4508990318118948
60,Super Mario 64,DS,2004.0,Platform,Nintendo,10.42,1.4412171507607192
65,New Super Mario Bros. 2,3DS,2012.0,Platform,Nintendo,9.82,1.3582295988934994
74,Animal Crossing: New Leaf,3DS,2012.0,Simulation,Nintendo,9.09,1.2572614107883817
75,Mario Party DS,DS,2007.0,Misc,Nintendo,9.02,1.2475795297372059
79,Wii Party,Wii,2010.0,Misc,Nintendo,8.49,1.1742738589211619
81,Mario Party 8,Wii,2007.0,Misc,Nintendo,8.42,1.164591977869986
82,Pokemon Black 2/Pokemon White 2,DS,2012.0,Role-Playing,Nintendo,8.33,1.152143845089903
89,Pokémon Platinum Version,DS,2008.0,Role-Playing,Nintendo,7.84,1.0843706777316735
92,Super Mario Galaxy 2,Wii,2010.0,Platform,Nintendo,7.69,1.0636237897648686
98,Super Smash Bros. for Wii U and 3DS,3DS,2014.0,Fighting,Nintendo,7.45,1.0304287690179805
101,The Legend of Zelda: Twilight Princess,Wii,2006.0,Action,Nintendo,7.31,1.0110650069156293
108,Super Smash Bros. Melee,GC,2001.0,Fighting,Nintendo,7.07,0.9778699861687413
109,Mario Kart 8,WiiU,2014.0,Racing,Nintendo,6.96,0.962655601659751
111,Mario Kart: Double Dash!!,GC,2003.0,Racing,Nintendo,6.95,0.9612724757952973
123,Big Brain Academy,DS,2005.0,Misc,Nintendo,6.67,0.9225449515905947
126,Donkey Kong Country Returns,Wii,2010.0,Platform,Nintendo,6.59,0.9114799446749654
131,Pokémon Emerald Version,GBA,2004.0,Role-Playing,Nintendo,6.41,0.8865836791147994
133,Pokémon Crystal Version,GB,2000.0,Role-Playing,Nintendo,6.39,0.883817427385892
136,Super Mario Sunshine,GC,2002.0,Platform,Nintendo,6.31,0.8727524204702627
150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,5.84,0.8077455048409404
163,Super Mario Advance,GBA,2001.0,Platform,Nintendo,5.49,0.7593360995850622
164,Mario Kart: Super Circuit,GBA,2001.0,Racing,Nintendo,5.47,0.7565698478561548
165,Super Mario World,GBA,2001.0,Platform,Nintendo,5.46,0.7551867219917012
178,Professor Layton and the Curious Village,DS,2007.0,Puzzle,Nintendo,5.26,0.7275242047026279
183,Super Mario Bros. 3,GBA,2003.0,Platform,Nintendo,5.2,0.719225449515906
184,New Super Mario Bros. U,WiiU,2012.0,Platform,Nintendo,5.19,0.7178423236514523
187,The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,5.17,0.7150760719225449
189,Tomodachi Life,3DS,2013.0,Simulation,Nintendo,5.15,0.7123098201936376
204,Super Smash Bros. for Wii U and 3DS,WiiU,2014.0,Fighting,Nintendo,5.02,0.6943291839557398
207,Link's Crossbow Training,Wii,2007.0,Shooter,Nintendo,5.0,0.6915629322268326
